Group,Keywords
125,"monopod, tripod, shutters, lenses"
126,"car mounts, car chargers, car bluetooth devices"
127,"car stickers, car seats"
128,"engine oil, lubricant oil, coolants, brake fluids, transmission fluids"
129,"sport rim, steering, body kit, wiper"
130,helmet motorcycle
131,"watch collection box, watch tools, watch straps, watch clasps"
132,"bracelet watch, analogue watch, digital watch, chronograph watch, hybrid watch, sports watch"
133,"vape mods, vape tanks, e-juice, vape battery"
134,"statues, figurines, accents, charms"
135,"baby jumpsuits, baby playsuits, baby rompers, baby bodysuits, baby overall, kids jumpsuit, kids overall"
136,"baby pants, baby trousers, kids pants, kids trousers"
137,"baby singlet, baby tank tops, kids singlet, kids singlet, kids tank tops"
138,"baby hoodies, baby cardigan, baby sweater, kids hoodies, kids cardigan, kids sweater, baby cot, baby romper"
139,"baby shirts, baby blouse, kids shirts, kids blouse"
140,"baby car seats, baby strollers, baby walkers, baby bouncers, baby carrier, baby chair"
141,"bottle feeding, sterilisers, warmers, teethers, pacifiers, baby bibs, baby storage, dispensers"
142,"diapers, potties, diaper bag, pampers"
143,"bath liquid cleanser, oral care"
144,baby wipes
145,bath tub
146,"early learning, kids arts, kids crafts"
147,"stuffed toys, playing dolls"
148,"building blocks, building puzzle"
149,"kids puzzles, educational puzzle"
150,"sports toys, outdoor play, rc cars"
151,musical toys
152,playmats
153,"baby mittens, baby gloves, kids gloves"
154,"baby caps, baby hats, kids caps, kids hats"
155,"baby beanies, baby headband, kids beanies, kids headband"
156,"baby booties, baby socks, baby legging, kids socks, kids legging"
157,"baby bag, kids bag"
158,kids watches
159,kids shoes
160,"baby hanger, receiving blanket"
161,"baby bed, blankets, pillows, bolsters, mattress, bandal, katil"
162,"baby cot, playpen"
163,"baby monitor, baby thermometer, nasal aspirator"
164,"breast pump, baby bottle, breast pad, nursing bra, nursing pillows, bottle brush, cotton swabs, bengkung, milk bottle, botol susu, nursing cover, maternity dress, maternity pants"
165,"baby moisturizers, maternity creams, rubbing alcohol, baby ointment"
166,baby detergent
167,"baby shower gel, baby head to toe wash, baby shampoo"
168,"baby milk formula, baby food, kids supplements"
169,"bed frame, bed, mattress, wardrobe, cupboard, vanity table, bedroom mirror, clothes rack, drawer"
170,"dining table, chair, sink, kitchen cabinet, kitchen rack"
171,"office table, office chair"
172,"sofa, coffee table, table, meja, sofa bed, tv cabinet, study table"
173,"patio umbrella, lounge furniture"
174,"laundry basket, brooms, mops, sweepers, cleaning tools, clothes hanger, drying racks, garbage bin, dustbin, laundry tools, iron board, clothes iron, spin mop, steam iron"
175,"water bottles, kitchen canisters, kitchen jars, dish racks, kitchen storage organizers, kitchen food storage, thermal flasks, kitchen containers"
176,"bed covers, bed protectors, bedding sets, comforters, quilts, bed sheets, cadar, cadar patchwork"
177,"spoons, forks, cups, mug, chopstick, plate, bowl, cutlery"
178,"knives, sharpeners, peeler, chopping boards, cutters, can opener, colander, potato masher, grater, shears, garlic press, spatula, stirring spoon, tongs, ladle, oven mitts, lighter"
179,"measuring cups, measuring spoons, mixing bowls, whisk, baking sheet pan"
180,"clocks, watches"
181,"rugs, carpets, karpet"
182,"mirrors, wall art, wall sticker, wallpaper"
183,"artificial flowers, artificial plants"
184,"cushions, sofa covers"
185,"curtains, blinds, langsir"
186,"fragrance, candles"
187,balloon
188,"clothes organization, clothes hanger, clothes peg, wardrobe, almari baju"
189,"racks, shelves, storage cabinets, almari, book shelf, shoe rack, rak kasut"
190,"storage bins, baskets"
191,"plastic bag, paper bag"
192,"bathroom lighting, ceiling lights, floor lamps, lamp shades, lighting fixtures, lighting components, outdoor lighting, specialty lighting, wall lights, sconces, ring light"
193,"light bulbs, fluorescent tube"
194,table lamps
195,"mats, shower curtains"
196,"bath towels, bath robes"
197,"bathroom storage, bathroom shelves, bathroom mirrors, bathroom cabinet"
198,bathroom scales
199,"plugs adapters, extension cable, extension plugs"
200,"power tools, diy tools, hammer, screwdriver, wrench, pliers, ratchet, drills, saw, level, utility knife, tools box, mallet, hacksaw, chisel, scraper, paint brush, workbench, vice, sandpaper"
201,"screws, nails, bolts, washer"
202,"outdoor tools, garden tools"
203,"stickers, tapes, sticky note, bubble wrap"
204,"diaries, diary book, notebook, planner, digital calendar, notepad, photobook"
205,"pen, pencil, marker pen, permanent marker, colour pencil, water colour brushes, chalk"
206,"watercolour, water crayon, colour pencil, oil paint, acrylic paint, water colour pencil"
207,"whiteboard eraser, blackboard duster, chalkboard eraser"
208,"ruler, measurement tape, tape measure"
209,"scissors, paper cutter, cutting blade"
210,"lace fabric, patchwork fabric, cotton fabric, ribbon fabric, linen fabric, silk fabric, canvas fabric, crepe fabric, lycra fabric, jersey fabric, kain pasang"
211,"rice spoon, spatula, rice scoop, rice paddle"
212,"fold over purses, zip purses, multi purpose pouches, coin pouches, short wallet, long wallet, zip wallet, passport holder"
213,"tote bags, jelly bag"
214,"shoulder bags, rucksack, drawstrings, outdoor backpack"
215,"clutches, wristlets"
216,"makeup bags, pouch"
217,handbag
218,"backpacks, drawstrings, rucksacks, school bag, beg sekolah, laptop bag"
219,"suitcases, travel totes, duffels, packing organizers, tags, covers"
220,"bucket bag, messenger bag, crossbody bag, sling bag"
221,briefcase
222,"travel luggage, packing organizer, hand luggage, wheeled luggage"
223,"travel accessories, packing organizer, makeup organizer"
224,"towels, pet shampoo, clippers, grooming wipes, blowers, pet brush, pet deodoriser"
225,"pet litter, waste removal, litter box"
226,"feeders, pee pads"
227,"wearables, leashes, collars"
228,"pet clothing, pet costume"
229,"pet foods, treats"
230,"heating, filters, filtration, circulation, air pumps, medications, water pumps, live plant, lighting, hoods, decorations"
231,"pet mats, pet feeder, pet climber, cage, pet bed, aquarium"
232,"skincare, coat care, flea medicine, tick medicine, dental care, eye care, ear care, vitamins, supplements"
233,"pet climber, cage, pet bed, aquarium, pet scratcher, kennel"
234,"laundry detergent, softener, floor cleaners, kitchen cleaners, toilet cleaners, multipurpose cleaner"
235,"toilet paper, tissue paper"
236,"pest, pesticide, repellant, insect coil, camphor ball"
237,"dried meat, dried fish, dried prawn, canned fish, canned meat"
238,"dried fruit, dried vegetable"
239,"jam, spreads, honey, jellies"
240,"cheese slice, cheese powder"
241,"adult milk powder, packet drinks, fruit juice, plain water, energy drinks, carbonated drinks"
242,"cereals, oats"
243,"biscuits, cookies, scones, brownies, chocolates, sweets, cakes, candy bar"
244,"cashew nuts, chestnuts, hazelnuts, sunflower seeds, walnut, mixed nut"
245,"chocolate drink, malt drink, dairy milk, dairy creamers, milk powder, yogurt drink"
246,"coffee bean, canned coffee, canned tea, instant coffee, tea powder, coffee powder, green coffee, green tea"
247,"sauces, dressings, spices, seasoning, cooking oil, coarse sugar, brown sugar, white sugar, sugar cube, sea salt, coarse salt, black pepper, white pepper"
248,"baking flour, baking soda, baking syrup, baking powder, baking extracts, baking flavoring, yeast"
249,postage service
250,"mobile reload, sim card, top-up coupon, reload coupon"
251,"bill payment, utilities payment, tnb bill, syabas bill, unifi bill, astro bill"
252,"shopee voucher, shopping voucher"
253,"restaurant voucher, spa voucher, dining voucher"
254,"event voucher, travel voucher, hotel voucher"
255,"manicure treatment, pedicure treatment"
256,"hand mixers, stand mixers, stick blenders, juicers, fruit extractors, sandwich makers, hand blenders, waffle maker"
257,"rice cooker, food steamer, multi cooker, bread maker, food processor, ice cream maker, periuk, pressure cooker"
258,"frying pan, cooking woks, stock pots, cooking pots, skillets, griddle"
259,"coffee machine, coffee grinder, coffee filter, kettle pots, thermo pots"
260,"handheld sewing machine, portable sewing machine, electric sewing machine, mesin jahit"
261,"air conditioner, air cooler, humidifiers, air purifiers, air conditioner accessories, portable aircond"
262,"stand fan, wall fan, ventilation fan, portable fan, ceiling fan, kipas angin"
263,"water heater, water cooler, water shower"
264,cooler bag
265,"cctv camera, ip camera"
266,"alarm sensor, motion censor"
267,"padlock, door lock, chain lock"
268,"home amplifiers, audio receivers"
269,"surround speaker, speaker soundbar, home theater, radio speaker"
270,"refrigerators, freezer, fridge"
271,"water purifier, water dispenser, water filter"
272,"microwave, oven, grill cooker, air fryer"
273,cooktop
274,"vacuum cleaner, robot vacuums, vacuum cleaner parts"
275,car vacuum
276,"dry iron, garment steamers, steam iron, travel iron, portable iron, traditional iron"
277,"washing machine, clothes dryer"
278,"crt tv, lcd tv, led tv, oled tv, plasma tv, qled tv, smart tv, 4k tv"
279,"tv remote control, tv antenna, tv box"
280,wall mount
